2795520, 1, 1, 88, 123.859029
2795520, 2, 1, 90, 62.345018
2795520, 4, 1, 92, 31.370439
2795520, 8, 1, 92, 16.883643
2795520, 15, 1, 92, 9.828213
2795520, 24, 1, 92, 6.314303
2795520, 28, 1, 92, 5.544844
2795520, 32, 1, 92, 5.188711
2795520, 36, 1, 92, 4.750971
2795520, 40, 1, 92, 3.714608
2795520, 1, 2, 89, 63.590153
2795520, 2, 2, 91, 32.769211
2795520, 4, 2, 92, 16.186106
2795520, 8, 2, 92, 10.270916
2795520, 15, 2, 92, 8.037695
2795520, 10, 2, 92, 9.260874
2795520, 1, 4, 90, 32.626536
2795520, 18, 2, 92, 6.923949
2795520, 2, 4, 92, 19.053855
2795520, 4, 4, 92, 8.959260
2795520, 8, 4, 92, 7.237059
2795520, 1, 6, 91, 22.152528
2795520, 2, 6, 92, 12.313208
2795520, 4, 6, 92, 7.915311
2795520, 1, 7, 92, 19.276739
2795520, 2, 7, 92, 11.337182
2795520, 3, 7, 92, 8.157351
2795520, 4, 7, 92, 6.208064
2795520, 1, 8, 92, 18.081362
2795520, 2, 8, 92, 10.720521
2795520, 3, 8, 92, 7.608373
9980928, 8, 1, 73, 45.631915
9980928, 4, 1, 71, 89.170005
9980928, 2, 1, 71, 183.526746
9980928, 1, 1, 71, 374.246323
9980928, 15, 1, 73, 26.104038
9980928, 40, 1, 73, 10.506050
9980928, 32, 1, 73, 12.642199
9980928, 28, 1, 73, 14.690669
9980928, 4, 2, 73, 47.799704
9980928, 8, 2, 73, 26.432004
9980928, 2, 2, 71, 94.272839
9980928, 1, 2, 70, 188.326150
9980928, 10, 2, 73, 23.354844
9980928, 18, 2, 73, 16.127010
9980928, 15, 2, 73, 16.841827
9980928, 4, 4, 73, 25.992881
9980928, 2, 4, 73, 50.486511
9980928, 1, 4, 71, 96.898243
9980928, 8, 4, 73, 17.741080
9980928, 2, 6, 73, 33.111567
9980928, 1, 6, 73, 66.509581
9980928, 4, 6, 73, 19.258246
9980928, 3, 7, 73, 19.191523
9980928, 2, 7, 73, 28.638325
9980928, 1, 7, 73, 57.136464
9980928, 3, 8, 73, 20.706949
9980928, 2, 8, 73, 26.100391
9980928, 1, 8, 73, 51.196389
